name,author,rating,quantity
Tina Fey: Bossypants,Tina Fey,4.3,10
To Kill a Mockingbird,Harper Lee,4.8,10
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,10
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,10
True Compass: A Memoir,Edward M. Kennedy,4.5,10
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,10
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,10
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,10
Under the Dome: A Novel,Stephen King,4.3,10
Unfreedom of the Press,Mark R. Levin,4.9,10
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,10
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,10
Watchmen,Alan Moore,4.8,10
Water for Elephants: A Novel,Sara Gruen,4.5,10
What Happened,Hillary Rodham Clinton,4.6,10
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,10
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,10
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,10
What to Expect When You're Expecting,Heidi Murkoff,4.4,10
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,10
When Breath Becomes Air,Paul Kalanithi,4.8,10
Where the Crawdads Sing,Delia Owens,4.8,10
Where the Wild Things Are,Maurice Sendak,4.8,10
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show withÂ…,4.6,10
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,10
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,10
Wonder,R. J. Palacio,4.8,10
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,10
